"","P66","P75","A","B","C","D","K","L","X","Delta","Theta","Pi","Psi","063","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Chrysostom","Nonnus","Cyprian","Hilary","Theodoret","Tertullian","Cyril","Origen","Eusebius","Aleph-c","W-supp"
"1546",0.576,0.635,0.293,0.647,0.585,0.669,0.138,0.482,0.398,0.297,0.386,0.131,0.326,0.129,0.222,0.287,0.328,0.276,0.29,0.438,0.358,0.269,0.286,0.247,0.306,0.297,0.08,0.28,0.211,0.28,0.341,0.287,0.344,0.259,0.306,0,0.263,0.251,0.249,0.584,0.439,0.549,0.478,0.685,0.567,0.416,0.5,0.596,0.461,0.554,0.381,0.653,0.788,0.4,0.489,0.266,0.312,0.348,0.455,0.432,0.667,0.691,0.386,0.653,0.76,0.615,0.1,0.618,0.421,0.62,0.423,0.286,0.625
"1646",0.547,0.643,0.286,0.659,0.617,0.676,0.19,0.536,0.398,0.176,0.339,0.203,0.331,0.189,0.096,0.187,0.287,0.212,0.16,0.456,0.273,0.125,0.24,0.188,0.235,0.308,0.232,0.186,0.147,0.164,0.306,0.224,0.24,0.167,0.194,0.263,0,0.187,0.145,0.557,0.414,0.514,0.459,0.669,0.553,0.366,0.486,0.625,0.406,0.455,0.317,0.636,0.818,0.344,0.435,0.209,0.4,0.27,0.461,0.44,0.5,0.588,0.364,0.735,0.72,0.5,0.1,0.647,0.514,0.58,0.423,0.381,0.594
"2148",0.597,0.6,0.333,0.671,0.606,0.676,0.19,0.554,0.431,0.21,0.38,0.229,0.331,0.194,0.108,0.17,0.333,0.282,0.172,0.497,0.327,0.165,0.286,0.188,0.241,0.314,0.244,0.176,0.182,0.25,0.329,0.253,0.25,0.198,0.229,0.251,0.187,0,0.173,0.537,0.382,0.535,0.452,0.669,0.518,0.385,0.465,0.567,0.375,0.463,0.338,0.61,0.742,0.344,0.427,0.247,0.362,0.313,0.506,0.464,0.556,0.588,0.398,0.714,0.76,0.5,0.1,0.647,0.467,0.58,0.5,0.452,0.625
"2174",0.59,0.609,0.293,0.665,0.596,0.669,0.191,0.56,0.423,0.185,0.339,0.216,0.318,0.29,0.12,0.216,0.306,0.218,0.172,0.467,0.303,0.145,0.22,0.2,0.241,0.314,0.22,0.185,0.121,0.231,0.318,0.231,0.292,0.13,0.206,0.249,0.145,0.173,0,0.591,0.414,0.556,0.478,0.677,0.574,0.391,0.493,0.606,0.414,0.446,0.353,0.636,0.833,0.375,0.443,0.234,0.4,0.252,0.481,0.424,0.486,0.588,0.398,0.796,0.76,0.577,0.25,0.735,0.458,0.58,0.5,0.357,0.656
"it-a",0.597,0.687,0.585,0.671,0.681,0.614,0.591,0.591,0.585,0.517,0.51,0.604,0.503,0.645,0.537,0.47,0.564,0.591,0.564,0.564,0.53,0.544,0.591,0.55,0.57,0.591,0.55,0.544,0.544,0.503,0.53,0.517,0.583,0.611,0.564,0.584,0.557,0.537,0.591,0,0.416,0.347,0.376,0.559,0.404,0.443,0.333,0.365,0.422,0.331,0.489,0.508,0.424,0.443,0.672,0.55,0.487,0.539,0.523,0.528,0.681,0.412,0.5,0.633,0.32,0.462,0.5,0.294,0.598,0.52,0.538,0.5,0.781
"it-aur",0.626,0.687,0.531,0.694,0.723,0.621,0.427,0.586,0.52,0.433,0.478,0.471,0.51,0.516,0.401,0.401,0.433,0.471,0.401,0.573,0.465,0.401,0.408,0.363,0.433,0.471,0.42,0.389,0.369,0.465,0.465,0.433,0.531,0.452,0.433,0.439,0.414,0.382,0.414,0.416,0,0.437,0.261,0.551,0.426,0.395,0.34,0.365,0.445,0.347,0.137,0.644,0.652,0.459,0.557,0.439,0.412,0.496,0.532,0.48,0.569,0.529,0.557,0.735,0.6,0.385,0.35,0.5,0.645,0.62,0.462,0.595,0.625
"it-b",0.655,0.852,0.597,0.764,0.777,0.576,0.549,0.667,0.65,0.521,0.583,0.576,0.576,0.71,0.535,0.542,0.535,0.583,0.562,0.646,0.549,0.521,0.535,0.549,0.535,0.569,0.514,0.556,0.5,0.521,0.569,0.521,0.677,0.597,0.549,0.549,0.514,0.535,0.556,0.347,0.437,0,0.368,0.512,0.39,0.479,0.347,0.404,0.539,0.364,0.475,0.551,0.561,0.535,0.672,0.549,0.525,0.6,0.625,0.584,0.722,0.559,0.534,0.796,0.52,0.5,0.6,0.588,0.692,0.72,0.577,0.5,0.75
"it-c",0.612,0.696,0.565,0.688,0.691,0.579,0.478,0.624,0.585,0.465,0.484,0.49,0.535,0.452,0.452,0.446,0.471,0.49,0.459,0.567,0.51,0.439,0.439,0.433,0.471,0.503,0.446,0.446,0.433,0.484,0.572,0.459,0.562,0.529,0.452,0.478,0.459,0.452,0.478,0.376,0.261,0.368,0,0.496,0.418,0.395,0.215,0.365,0.43,0.347,0.201,0.568,0.636,0.427,0.511,0.452,0.412,0.522,0.545,0.504,0.625,0.529,0.511,0.755,0.6,0.346,0.45,0.5,0.617,0.64,0.462,0.595,0.594
"it-d",0.638,0.8,0.74,0.654,0.691,0.037,0.661,0.701,0.748,0.685,0.661,0.685,0.646,0.903,0.661,0.669,0.63,0.669,0.669,0.614,0.669,0.654,0.685,0.654,0.669,0.654,0.646,0.654,0.654,0.677,0.685,0.654,0.812,0.709,0.654,0.685,0.669,0.669,0.677,0.559,0.551,0.512,0.496,0,0.52,0.583,0.496,0.615,0.693,0.595,0.598,0.661,0.621,0.646,0.646,0.701,0.625,0.696,0.638,0.616,0.722,0.662,0.739,0.755,0.68,0.577,0.85,0.706,0.785,0.88,0.885,0.738,0.687
"it-e",0.691,0.817,0.638,0.738,0.798,0.574,0.574,0.695,0.732,0.574,0.567,0.667,0.61,0.581,0.546,0.511,0.553,0.596,0.553,0.709,0.613,0.539,0.56,0.525,0.511,0.589,0.56,0.504,0.511,0.56,0.624,0.567,0.656,0.567,0.546,0.567,0.553,0.518,0.574,0.404,0.426,0.39,0.418,0.52,0,0.553,0.433,0.548,0.57,0.446,0.518,0.644,0.53,0.532,0.573,0.589,0.612,0.687,0.66,0.656,0.667,0.588,0.614,0.857,0.64,0.308,0.65,0.559,0.71,0.68,0.692,0.69,0.844
"it-f",0.489,0.513,0.429,0.565,0.489,0.676,0.404,0.509,0.407,0.298,0.385,0.418,0.385,0.452,0.36,0.317,0.435,0.391,0.391,0.398,0.385,0.373,0.373,0.422,0.441,0.472,0.391,0.373,0.373,0.323,0.391,0.348,0.406,0.441,0.416,0.416,0.366,0.385,0.391,0.443,0.395,0.479,0.395,0.583,0.553,0,0.417,0.337,0.219,0.397,0.273,0.627,0.545,0.387,0.504,0.386,0.35,0.235,0.481,0.344,0.542,0.515,0.42,0.429,0.36,0.385,0.3,0.441,0.542,0.44,0.538,0.405,0.406
"it-ff-2",0.647,0.739,0.611,0.715,0.734,0.59,0.5,0.632,0.65,0.493,0.514,0.549,0.507,0.581,0.451,0.465,0.479,0.486,0.479,0.597,0.514,0.444,0.479,0.437,0.472,0.528,0.479,0.458,0.458,0.5,0.549,0.493,0.594,0.521,0.444,0.5,0.486,0.465,0.493,0.333,0.34,0.347,0.215,0.496,0.433,0.417,0,0.337,0.508,0.388,0.353,0.593,0.606,0.465,0.55,0.458,0.487,0.53,0.59,0.576,0.708,0.544,0.591,0.755,0.68,0.423,0.5,0.529,0.701,0.7,0.577,0.643,0.687
"it-l",0.529,0.606,0.596,0.558,0.681,0.654,0.635,0.585,0.625,0.481,0.519,0.657,0.5,0.742,0.606,0.49,0.625,0.654,0.587,0.49,0.558,0.577,0.615,0.587,0.577,0.635,0.577,0.577,0.558,0.529,0.587,0.5,0.635,0.625,0.587,0.596,0.625,0.567,0.606,0.365,0.365,0.404,0.365,0.615,0.548,0.337,0.337,0,0.452,0.577,0.471,0.644,0.5,0.49,0.731,0.558,0.7,0.625,0.538,0.49,0.944,0.632,0.602,0.571,0.32,0.731,0.65,0.353,0.692,0.56,0.731,0.69,0.469
"it-q",0.555,0.591,0.424,0.555,0.532,0.68,0.445,0.461,0.602,0.359,0.414,0.469,0.406,0.452,0.391,0.305,0.477,0.445,0.43,0.469,0.414,0.383,0.406,0.437,0.461,0.516,0.406,0.398,0.391,0.32,0.406,0.367,0.487,0.477,0.422,0.461,0.406,0.375,0.414,0.422,0.445,0.539,0.43,0.693,0.57,0.219,0.508,0.452,0,0.57,0.477,0.653,0.485,0.391,0.602,0.445,0.487,0.487,0.508,0.5,0.639,0.588,0.466,0.469,0.36,0.538,0.65,0.618,0.598,0.54,0.731,0.571,0.5
"it-r-1",0.653,0.774,0.603,0.744,0.809,0.603,0.521,0.636,0.702,0.488,0.479,0.57,0.521,0.839,0.455,0.438,0.545,0.488,0.455,0.587,0.579,0.455,0.471,0.446,0.512,0.554,0.521,0.421,0.446,0.479,0.554,0.504,0.708,0.504,0.488,0.554,0.455,0.463,0.446,0.331,0.347,0.364,0.347,0.595,0.446,0.397,0.388,0.577,0.57,0,0.413,0.703,0.773,0.463,0.62,0.488,0.537,0.617,0.587,0.595,0.625,0.529,0.648,0.796,0.72,0.423,0.55,0.706,0.766,0.68,0.654,0.643,0.812
"vg",0.597,0.696,0.489,0.64,0.702,0.662,0.353,0.568,0.528,0.338,0.388,0.403,0.439,0.516,0.324,0.309,0.374,0.381,0.345,0.468,0.388,0.309,0.324,0.288,0.345,0.417,0.338,0.324,0.317,0.367,0.396,0.36,0.562,0.403,0.381,0.381,0.317,0.338,0.353,0.489,0.137,0.475,0.201,0.598,0.518,0.273,0.353,0.471,0.477,0.413,0,0.661,0.697,0.388,0.519,0.367,0.425,0.452,0.482,0.496,0.583,0.515,0.534,0.755,0.68,0.462,0.25,0.647,0.617,0.6,0.423,0.571,0.625
"syr-s",0.653,0.739,0.636,0.678,0.755,0.636,0.644,0.695,0.746,0.542,0.602,0.669,0.602,0.871,0.61,0.568,0.661,0.644,0.619,0.593,0.602,0.602,0.653,0.644,0.636,0.669,0.627,0.644,0.619,0.568,0.619,0.576,0.698,0.669,0.653,0.653,0.636,0.61,0.636,0.508,0.644,0.551,0.568,0.661,0.644,0.627,0.593,0.644,0.653,0.703,0.661,0,0.515,0.415,0.627,0.542,0.7,0.67,0.551,0.585,0.75,0.5,0.659,0.633,0.32,0.615,0.8,0.5,0.645,0.64,0.654,0.786,0.875
"syr-c",0.591,0.652,0.667,0.652,0.667,0.621,0.773,0.667,0.803,0.667,0.606,0.773,0.667,0.774,0.773,0.652,0.712,0.773,0.803,0.545,0.606,0.773,0.803,0.803,0.773,0.773,0.742,0.788,0.773,0.636,0.652,0.636,0.652,0.803,0.727,0.788,0.818,0.742,0.833,0.424,0.652,0.561,0.636,0.621,0.53,0.545,0.606,0.5,0.485,0.773,0.697,0.515,0,0.485,0.697,0.742,0.848,0.773,0.53,0.455,0.894,0.712,0.727,0.633,0.56,0.769,0.9,0.618,0.682,0.74,0.808,0.905,0.625
"syr-p",0.532,0.6,0.367,0.606,0.511,0.655,0.362,0.487,0.439,0.294,0.4,0.399,0.375,0.355,0.337,0.3,0.406,0.375,0.356,0.437,0.369,0.319,0.2,0.387,0.381,0.412,0.356,0.381,0.337,0.294,0.369,0.312,0.344,0.419,0.35,0.4,0.344,0.344,0.375,0.443,0.459,0.535,0.427,0.646,0.532,0.387,0.465,0.49,0.391,0.463,0.388,0.415,0.485,0,0.366,0.253,0.337,0.33,0.422,0.376,0.597,0.368,0.443,0.51,0.36,0.423,0.35,0.441,0.458,0.46,0.538,0.405,0.75
"syr-pal",0.702,0.652,0.573,0.557,0.649,0.664,0.443,0.542,0.602,0.481,0.489,0.542,0.42,0.516,0.42,0.42,0.397,0.443,0.427,0.527,0.45,0.412,0.389,0.458,0.393,0.435,0.45,0.443,0.412,0.435,0.489,0.466,0.552,0.466,0.405,0.489,0.435,0.427,0.443,0.672,0.557,0.672,0.511,0.646,0.573,0.504,0.55,0.731,0.602,0.62,0.519,0.627,0.697,0.366,0,0.397,0.487,0.53,0.519,0.544,0.597,0.662,0.659,0.755,0.76,0.5,0.6,0.765,0.636,0.62,0.769,0.548,0.75
"syr-h",0.619,0.626,0.333,0.601,0.628,0.703,0.247,0.538,0.455,0.222,0.354,0.268,0.304,0.226,0.203,0.253,0.342,0.278,0.241,0.449,0.361,0.209,0.253,0.272,0.291,0.335,0.222,0.222,0.196,0.253,0.373,0.272,0.333,0.278,0.278,0.266,0.209,0.247,0.234,0.55,0.439,0.549,0.452,0.701,0.589,0.386,0.458,0.558,0.445,0.488,0.367,0.542,0.742,0.253,0.397,0,0.362,0.322,0.474,0.44,0.583,0.603,0.489,0.714,0.72,0.538,0.2,0.676,0.533,0.62,0.538,0.381,0.656
"cop",0.45,0.6,0.512,0.412,0.675,0.637,0.35,0.275,0.55,0.412,0.45,0.362,0.312,0.71,0.375,0.412,0.312,0.337,0.45,0.312,0.35,0.4,0.412,0.425,0.387,0.3,0.287,0.375,0.35,0.362,0.337,0.412,0.662,0.462,0.375,0.312,0.4,0.362,0.4,0.487,0.412,0.525,0.412,0.625,0.612,0.35,0.487,0.7,0.487,0.537,0.425,0.7,0.848,0.337,0.487,0.362,0,0.587,0.337,0.425,0.764,0.809,0.775,0.857,0.8,0.615,0.7,0.941,0.662,0.8,0.731,0.595,0.781
"goth",0.574,0.652,0.391,0.557,0.681,0.67,0.322,0.522,0.487,0.183,0.304,0.435,0.296,0.806,0.278,0.261,0.339,0.313,0.313,0.383,0.261,0.304,0.313,0.313,0.365,0.417,0.339,0.287,0.296,0.226,0.322,0.252,0.51,0.322,0.304,0.348,0.27,0.313,0.252,0.539,0.496,0.6,0.522,0.696,0.687,0.235,0.53,0.625,0.487,0.617,0.452,0.67,0.773,0.33,0.53,0.322,0.587,0,0.496,0.47,0.694,0.515,0.58,0.735,0.48,0.692,0.55,0.559,0.654,0.5,0.769,0.571,0.969
"arm",0.576,0.539,0.497,0.532,0.479,0.676,0.435,0.5,0.48,0.435,0.396,0.49,0.396,0.452,0.461,0.409,0.39,0.429,0.487,0.448,0.357,0.468,0.487,0.487,0.481,0.487,0.435,0.474,0.461,0.409,0.409,0.422,0.448,0.513,0.468,0.455,0.461,0.506,0.481,0.523,0.532,0.625,0.545,0.638,0.66,0.481,0.59,0.538,0.508,0.587,0.482,0.551,0.53,0.422,0.519,0.474,0.337,0.496,0,0.224,0.625,0.471,0.398,0.469,0.36,0.423,0.4,0.441,0.467,0.46,0.5,0.5,0.562
"geo",0.52,0.609,0.488,0.52,0.489,0.632,0.408,0.528,0.528,0.384,0.352,0.48,0.36,0.613,0.416,0.384,0.384,0.392,0.464,0.368,0.312,0.432,0.416,0.448,0.464,0.512,0.4,0.44,0.432,0.328,0.416,0.36,0.5,0.464,0.416,0.432,0.44,0.464,0.424,0.528,0.48,0.584,0.504,0.616,0.656,0.344,0.576,0.49,0.5,0.595,0.496,0.585,0.455,0.376,0.544,0.44,0.425,0.47,0.224,0,0.694,0.574,0.5,0.469,0.48,0.385,0.45,0.5,0.57,0.46,0.5,0.5,0.5
"eth",0.75,0.806,0.681,0.625,0.833,0.722,0.569,0.625,0.722,0.583,0.653,0.625,0.625,0.903,0.542,0.597,0.542,0.458,0.542,0.542,0.597,0.486,0.542,0.583,0.611,0.569,0.625,0.556,0.514,0.528,0.542,0.597,0.806,0.556,0.528,0.667,0.5,0.556,0.486,0.681,0.569,0.722,0.625,0.722,0.667,0.542,0.708,0.944,0.639,0.625,0.583,0.75,0.894,0.597,0.597,0.583,0.764,0.694,0.625,0.694,0,0.794,0.792,0.857,0.8,0.731,0.8,0.912,0.667,0.78,0.846,0.81,0.906
"Diatessaron",0.588,0.75,0.529,0.662,0.735,0.691,0.618,0.662,0.676,0.485,0.588,0.632,0.574,0.968,0.574,0.471,0.632,0.676,0.647,0.632,0.485,0.618,0.618,0.574,0.588,0.676,0.632,0.574,0.574,0.441,0.515,0.485,0.735,0.618,0.603,0.691,0.588,0.588,0.588,0.412,0.529,0.559,0.529,0.662,0.588,0.515,0.544,0.632,0.588,0.529,0.515,0.5,0.712,0.368,0.662,0.603,0.809,0.515,0.471,0.574,0.794,0,0.618,0.714,0.44,0.808,0.8,0.618,0.588,0.72,0.885,0.976,0.969
"Chrysostom",0.534,0.636,0.545,0.557,0.716,0.716,0.364,0.557,0.557,0.318,0.352,0.466,0.352,0.581,0.375,0.273,0.432,0.42,0.42,0.455,0.318,0.33,0.341,0.386,0.409,0.511,0.375,0.364,0.375,0.273,0.318,0.284,0.523,0.386,0.409,0.386,0.364,0.398,0.398,0.5,0.557,0.534,0.511,0.739,0.614,0.42,0.591,0.602,0.466,0.648,0.534,0.659,0.727,0.443,0.659,0.489,0.775,0.58,0.398,0.5,0.792,0.618,0,0.633,0.48,0.769,0.45,0.559,0.5,0.58,0.615,0.643,0.687
"Nonnus",0.469,0.408,0.49,0.408,0.551,0.776,0.714,0.347,0.51,0.571,0.551,0.735,0.469,0.839,0.714,0.531,0.653,0.714,0.735,0.347,0.449,0.714,0.673,0.694,0.694,0.694,0.714,0.735,0.714,0.531,0.49,0.531,0.633,0.755,0.673,0.653,0.735,0.714,0.796,0.633,0.735,0.796,0.755,0.755,0.857,0.429,0.755,0.571,0.469,0.796,0.755,0.633,0.633,0.51,0.755,0.714,0.857,0.735,0.469,0.469,0.857,0.714,0.633,0,0.6,0.923,0.75,0.647,0.551,0.735,0.846,0.857,0.625
"Cyprian",0.48,0.6,0.36,0.44,0.56,0.68,0.72,0.4,0.52,0.36,0.4,0.72,0.4,0.92,0.8,0.36,0.8,0.76,0.8,0.36,0.44,0.72,0.72,0.8,0.72,0.76,0.76,0.8,0.76,0.36,0.36,0.32,0.6,0.76,0.8,0.76,0.72,0.76,0.76,0.32,0.6,0.52,0.6,0.68,0.64,0.36,0.68,0.32,0.36,0.72,0.68,0.32,0.56,0.36,0.76,0.72,0.8,0.48,0.36,0.48,0.8,0.44,0.48,0.6,0,0.84,0.9,0.56,0.44,0.48,0.88,0.92,0.92
"Hilary",0.731,0.846,0.692,0.692,0.769,0.615,0.538,0.615,0.808,0.538,0.462,0.615,0.577,0.962,0.5,0.538,0.5,0.5,0.538,0.538,0.462,0.5,0.615,0.538,0.577,0.615,0.615,0.577,0.5,0.538,0.577,0.462,0.808,0.538,0.577,0.615,0.5,0.5,0.577,0.462,0.385,0.5,0.346,0.577,0.308,0.385,0.423,0.731,0.538,0.423,0.462,0.615,0.769,0.423,0.5,0.538,0.615,0.692,0.423,0.385,0.731,0.808,0.769,0.923,0.84,0,0.85,0.808,0.654,0.654,0.846,0.885,0.923
"Theodoret",0.55,0.8,0.4,0.75,0.8,0.85,0.2,0.45,0.35,0.15,0.5,0.2,0.25,0.85,0.1,0.15,0.2,0.1,0.3,0.35,0.2,0.15,0.15,0.1,0.3,0.35,0.25,0.1,0.1,0.25,0.2,0.25,0.65,0.2,0.2,0.1,0.1,0.1,0.25,0.5,0.35,0.6,0.45,0.85,0.65,0.3,0.5,0.65,0.65,0.55,0.25,0.8,0.9,0.35,0.6,0.2,0.7,0.55,0.4,0.45,0.8,0.8,0.45,0.75,0.9,0.85,0,0.8,0.55,0.9,0.65,0.9,0.9
"Tertullian",0.529,0.618,0.5,0.559,0.647,0.706,0.676,0.471,0.5,0.382,0.353,0.765,0.382,0.935,0.647,0.382,0.643,0.706,0.647,0.471,0.412,0.618,0.706,0.588,0.618,0.647,0.647,0.676,0.618,0.471,0.471,0.353,0.559,0.676,0.676,0.618,0.647,0.647,0.735,0.294,0.5,0.588,0.5,0.706,0.559,0.441,0.529,0.353,0.618,0.706,0.647,0.5,0.618,0.441,0.765,0.676,0.941,0.559,0.441,0.5,0.912,0.618,0.559,0.647,0.56,0.808,0.8,0,0.5,0.647,0.808,0.971,0.906
"Cyril",0.598,0.664,0.514,0.514,0.638,0.766,0.411,0.411,0.598,0.374,0.458,0.495,0.364,0.581,0.449,0.402,0.439,0.486,0.477,0.43,0.383,0.43,0.486,0.551,0.439,0.411,0.439,0.477,0.458,0.355,0.402,0.318,0.583,0.495,0.467,0.421,0.514,0.467,0.458,0.598,0.645,0.692,0.617,0.785,0.71,0.542,0.701,0.692,0.598,0.766,0.617,0.645,0.682,0.458,0.636,0.533,0.662,0.654,0.467,0.57,0.667,0.588,0.5,0.551,0.44,0.654,0.55,0.5,0,0.46,0.577,0.595,0.687
"Origen",0.429,0.405,0.381,0.31,0.54,0.82,0.56,0.36,0.46,0.4,0.36,0.68,0.42,0.96,0.56,0.42,0.56,0.62,0.58,0.42,0.42,0.56,0.64,0.6,0.62,0.58,0.6,0.6,0.6,0.36,0.36,0.38,0.6,0.62,0.56,0.62,0.58,0.58,0.58,0.52,0.62,0.72,0.64,0.88,0.68,0.44,0.7,0.56,0.54,0.68,0.6,0.64,0.74,0.46,0.62,0.62,0.8,0.5,0.46,0.46,0.78,0.72,0.58,0.735,0.48,0.654,0.9,0.647,0.46,0,0.769,0.786,0.906
"Eusebius",0.654,0.808,0.615,0.769,0.808,0.885,0.423,0.577,0.615,0.462,0.5,0.423,0.538,0.846,0.5,0.462,0.538,0.423,0.615,0.538,0.538,0.462,0.423,0.385,0.423,0.462,0.423,0.385,0.462,0.385,0.423,0.423,0.808,0.615,0.5,0.423,0.423,0.5,0.5,0.538,0.462,0.577,0.462,0.885,0.692,0.538,0.577,0.731,0.731,0.654,0.423,0.654,0.808,0.538,0.769,0.538,0.731,0.769,0.5,0.5,0.846,0.885,0.615,0.846,0.88,0.846,0.65,0.808,0.577,0.769,0,0.808,0.846
"Aleph-c",0.595,0.548,0.381,0.452,0.738,0.643,0.333,0.238,0.476,0.452,0.452,0.405,0.262,0.806,0.429,0.452,0.286,0.357,0.476,0.214,0.357,0.429,0.429,0.429,0.357,0.381,0.286,0.219,0.381,0.357,0.357,0.219,0.562,0.429,0.405,0.286,0.381,0.452,0.357,0.5,0.595,0.5,0.595,0.738,0.69,0.405,0.643,0.69,0.571,0.643,0.571,0.786,0.905,0.405,0.548,0.381,0.595,0.571,0.5,0.5,0.81,0.976,0.643,0.857,0.92,0.885,0.9,0.971,0.595,0.786,0.808,0,0.875
"W-supp",0.375,0.312,0.562,0.344,0.469,0.656,0.531,0.531,0.812,0.594,0.656,0.594,0.594,0.742,0.625,0.594,0.687,0.656,0.594,0.375,0.594,0.531,0.531,0.719,0.5,0.656,0.594,0.625,0.594,0.562,0.531,0.562,0.594,0.562,0.719,0.625,0.594,0.625,0.656,0.781,0.625,0.75,0.594,0.687,0.844,0.406,0.687,0.469,0.5,0.812,0.625,0.875,0.625,0.75,0.75,0.656,0.781,0.969,0.562,0.5,0.906,0.969,0.687,0.625,0.92,0.923,0.9,0.906,0.687,0.906,0.846,0.875,0
